region	chr	midPos	Nsites
(351,966)(150000,150629)(150000,200000)	JASDQU010010711.1	175000	617	0.243767
(723,773)(88277,88334)(50000,100000)	JASDQU010010712.1	75000	52	0.067547
(721,843)(194682,194811)(150000,200000)	JASDQU010010722.1	175000	124	0.519752
(100,101)(257907,257908)(250000,300000)	JASDQU010010732.1	275000	3	0.059697
(158,676)(100000,100521)(100000,150000)	JASDQU010010736.1	125000	520	0.205839
(1140,1276)(58006,58163)(50000,100000)	JASDQU010010737.1	75000	138	0.138443
(899,1704)(196222,197035)(150000,200000)	JASDQU010010770.1	175000	807	0.028722
(915,1922)(50748,51805)(50000,100000)	JASDQU010010788.1	75000	1009	0.184083
(462,805)(160327,160797)(150000,200000)	JASDQU010010812.1	175000	345	0.053995
(806,838)(210078,210123)(200000,250000)	JASDQU010010812.1	225000	34	0.054336
(1876,2086)(117163,118255)(100000,150000)	JASDQU010010819.1	125000	212	0.087133
(188,2787)(109795,114182)(100000,150000)	JASDQU010010860.1	125000	2601	0.243299
(1879,4256)(82505,94506)(50000,100000)	JASDQU010010883.1	75000	2379	0.120420
(649,677)(179733,179817)(150000,200000)	JASDQU010010907.1	175000	30	0.106939
(35,1436)(77206,79979)(50000,100000)	JASDQU010010910.1	75000	1403	0.232027
(334,419)(181598,181704)(150000,200000)	JASDQU010010912.1	175000	87	0.428013
(218,945)(144983,145799)(100000,150000)	JASDQU010010916.1	125000	729	0.242863
(666,1387)(51242,51980)(50000,100000)	JASDQU010010917.1	75000	723	0.223249
(2062,2152)(196995,197363)(150000,200000)	JASDQU010010949.1	175000	92	0.119450
(177,947)(72126,98030)(50000,100000)	JASDQU010010950.1	75000	772	0.164979
(652,661)(125784,125849)(100000,150000)	JASDQU010010955.1	125000	11	0.052251
(135,824)(191001,191694)(150000,200000)	JASDQU010010971.1	175000	691	0.515827
(825,955)(201220,201679)(200000,250000)	JASDQU010010971.1	225000	132	0.032848
(253,1389)(70545,95036)(50000,100000)	JASDQU010010976.1	75000	1138	0.375599
(431,1612)(147756,148973)(100000,150000)	JASDQU010010977.1	125000	1183	0.026111
(2124,2244)(114971,115109)(100000,150000)	JASDQU010011022.1	125000	122	0.173861
(366,864)(50181,83699)(50000,100000)	JASDQU010011027.1	75000	500	0.013165
(532,877)(272017,272600)(250000,300000)	JASDQU010011044.1	275000	347	0.090541
(745,773)(72923,72994)(50000,100000)	JASDQU010011046.1	75000	30	0.015615
(464,484)(56821,56852)(50000,100000)	JASDQU010011050.1	75000	22	0.054373
(362,1381)(59416,83545)(50000,100000)	JASDQU010011054.1	75000	1021	0.540520
(1382,1433)(245845,245908)(200000,250000)	JASDQU010011054.1	225000	53	0.915644
(947,1208)(170374,170806)(150000,200000)	JASDQU010011056.1	175000	263	0.036354
(293,498)(291536,291804)(250000,300000)	JASDQU010011088.1	275000	207	0.495234
(499,596)(342677,342803)(300000,350000)	JASDQU010011088.1	325000	99	0.037401
(842,1506)(308542,309207)(300000,350000)	JASDQU010011092.1	325000	666	0.197317
(1937,2194)(87677,87968)(50000,100000)	JASDQU010011112.1	75000	259	0.146925
(316,1140)(109854,124676)(100000,150000)	JASDQU010011116.1	125000	826	0.239742
(3,1059)(234534,247304)(200000,250000)	JASDQU010011137.1	225000	1058	0.144153
(882,888)(55734,55741)(50000,100000)	JASDQU010011159.1	75000	8	0.048546
(1810,1829)(194309,194329)(150000,200000)	JASDQU010011175.1	175000	21	0.092559
(666,1279)(156295,156966)(150000,200000)	JASDQU010011186.1	175000	615	0.319484
(252,485)(208203,208508)(200000,250000)	JASDQU010011208.1	225000	235	0.052213
(486,622)(349498,349644)(300000,350000)	JASDQU010011208.1	325000	138	0.274243
(742,1874)(123154,142549)(100000,150000)	JASDQU010011232.1	125000	1134	0.487091
(4459,4809)(381649,382029)(350000,400000)	JASDQU010011246.1	375000	352	0.181023
(222,347)(74054,74188)(50000,100000)	JASDQU010011254.1	75000	127	0.119967
(348,2418)(108512,142179)(100000,150000)	JASDQU010011254.1	125000	2072	0.393352
(93,976)(55790,76392)(50000,100000)	JASDQU010011265.1	75000	885	0.185140
(282,1163)(198128,199015)(150000,200000)	JASDQU010011279.1	175000	883	0.424578
(663,2007)(157604,158990)(150000,200000)	JASDQU010011285.1	175000	1346	0.298763
(1697,2570)(187072,187946)(150000,200000)	JASDQU010011294.1	175000	875	0.096846
(410,1829)(132368,133799)(100000,150000)	JASDQU010011299.1	125000	1421	0.400245
(1830,2146)(167388,197541)(150000,200000)	JASDQU010011299.1	175000	318	0.359250
(1272,1378)(150158,150293)(150000,200000)	JASDQU010011325.1	175000	108	0.198286
(841,1396)(154701,181756)(150000,200000)	JASDQU010011334.1	175000	557	0.070925
(50,117)(181757,181832)(150000,200000)	JASDQU010011388.1	175000	69	0.095849
(383,689)(96327,96698)(50000,100000)	JASDQU010011404.1	75000	308	0.035095
(690,690)(309178,309178)(300000,350000)	JASDQU010011404.1	325000	2	0.052719
(691,1323)(394504,395145)(350000,400000)	JASDQU010011404.1	375000	634	0.203122
(1324,1419)(419104,419209)(400000,450000)	JASDQU010011404.1	425000	97	0.031993
(1420,1474)(452191,452246)(450000,500000)	JASDQU010011404.1	475000	56	0.107325
(647,3439)(251748,270696)(250000,300000)	JASDQU010011406.1	275000	2794	0.155767
(989,1872)(102341,132110)(100000,150000)	JASDQU010011412.1	125000	885	0.239741
(2180,6808)(75702,98828)(50000,100000)	JASDQU010011434.1	75000	4630	0.176797
(6809,6829)(107670,107724)(100000,150000)	JASDQU010011434.1	125000	22	0.048253
(105,225)(61537,61692)(50000,100000)	JASDQU010011435.1	75000	122	0.314239
(922,1534)(210322,210943)(200000,250000)	JASDQU010011445.1	225000	614	0.171134
(1081,1580)(55977,56640)(50000,100000)	JASDQU010011454.1	75000	501	0.013426
(1581,1748)(145303,145474)(100000,150000)	JASDQU010011454.1	125000	169	0.020352
(1749,2015)(324264,347483)(300000,350000)	JASDQU010011454.1	325000	268	0.209469
(812,852)(75351,75394)(50000,100000)	JASDQU010011495.1	75000	42	0.356996
(856,1856)(98221,99384)(50000,100000)	JASDQU010011509.1	75000	1002	0.819848
(42,610)(342328,345689)(300000,350000)	JASDQU010011510.1	325000	570	0.470179
(1717,1835)(140781,140902)(100000,150000)	JASDQU010011523.1	125000	120	0.182259
(2004,2859)(200424,203252)(200000,250000)	JASDQU010011528.1	225000	857	0.821838
(85,665)(91798,92448)(50000,100000)	JASDQU010011550.1	75000	582	0.034839
(1966,4581)(106465,111718)(100000,150000)	JASDQU010011558.1	125000	2617	0.689461
(878,2336)(260672,265569)(250000,300000)	JASDQU010011594.1	275000	1460	0.388166
(348,1898)(277897,279510)(250000,300000)	JASDQU010011655.1	275000	1552	0.300342
(2012,2762)(229917,230671)(200000,250000)	JASDQU010011712.1	225000	752	0.001708
(1683,3225)(70926,90123)(50000,100000)	JASDQU010011713.1	75000	1544	0.347630
(3226,3465)(248913,249158)(200000,250000)	JASDQU010011713.1	225000	241	0.023318
(209,289)(50461,50565)(50000,100000)	JASDQU010011725.1	75000	82	0.061641
(447,784)(205264,205603)(200000,250000)	JASDQU010011735.1	225000	339	0.524478
(442,1596)(150475,168829)(150000,200000)	JASDQU010011737.1	175000	1156	0.057993
(266,1630)(236799,238421)(200000,250000)	JASDQU010011741.1	225000	1366	0.167166
(96,2321)(57595,90008)(50000,100000)	JASDQU010011755.1	75000	2227	0.073374
(2322,2394)(180465,180559)(150000,200000)	JASDQU010011755.1	175000	74	0.100634
(724,4417)(250000,256958)(250000,300000)	JASDQU010011766.1	275000	3695	0.423181
(698,824)(95148,95276)(50000,100000)	JASDQU010011792.1	75000	128	0.043382
(27,867)(50459,54932)(50000,100000)	JASDQU010011811.1	75000	842	0.637477
(1585,2617)(184307,187827)(150000,200000)	JASDQU010011818.1	175000	1034	0.264752
(174,441)(69516,69989)(50000,100000)	JASDQU010011822.1	75000	269	0.135143
(12,449)(163979,164525)(150000,200000)	JASDQU010011842.1	175000	439	0.020843
(616,1472)(67752,68693)(50000,100000)	JASDQU010011849.1	75000	858	0.433647
(282,768)(217958,243924)(200000,250000)	JASDQU010011854.1	225000	488	0.008799
(769,1091)(257133,258118)(250000,300000)	JASDQU010011854.1	275000	324	0.050049
(212,299)(100737,100984)(100000,150000)	JASDQU010011859.1	125000	89	0.047818
(1303,1484)(236441,236853)(200000,250000)	JASDQU010011868.1	225000	183	0.049616
(139,517)(139604,140156)(100000,150000)	JASDQU010011895.1	125000	380	0.153693
(679,1010)(102008,133336)(100000,150000)	JASDQU010011928.1	125000	333	0.034745
(72,73)(104462,104463)(100000,150000)	JASDQU010011941.1	125000	3	0.042206
(199,2385)(175415,192206)(150000,200000)	JASDQU010011946.1	175000	2188	0.227691
(108,617)(113208,113736)(100000,150000)	JASDQU010011954.1	125000	511	0.176231
(385,1455)(74042,82818)(50000,100000)	JASDQU010011990.1	75000	1072	0.360215
(1651,2494)(50000,50844)(50000,100000)	JASDQU010012037.1	75000	845	0.516714
(108,249)(52506,52650)(50000,100000)	JASDQU010012102.1	75000	143	-0.004783
(110,2326)(114058,117514)(100000,150000)	JASDQU010012175.1	125000	2218	0.197509
(59,1619)(211427,213001)(200000,250000)	JASDQU010012204.1	225000	1562	0.598684
(336,653)(138535,138868)(100000,150000)	JASDQU010012216.1	125000	319	0.558716
(571,1251)(306554,307282)(300000,350000)	JASDQU010012224.1	325000	682	0.504066
(383,1572)(148809,149999)(100000,150000)	JASDQU010012231.1	125000	1191	0.505929
(692,1472)(115156,116010)(100000,150000)	JASDQU010012247.1	125000	782	0.283881
(323,1085)(51628,84600)(50000,100000)	JASDQU010012267.1	75000	764	0.229748
(1339,1456)(60512,60921)(50000,100000)	JASDQU010012272.1	75000	119	0.007349
(34,127)(188608,188715)(150000,200000)	JASDQU010012284.1	175000	95	0.835215
(4928,6004)(51879,81752)(50000,100000)	JASDQU010012294.1	75000	1078	0.224913
(132,2880)(88146,91031)(50000,100000)	JASDQU010012295.1	75000	2750	0.276034
(364,1194)(107649,108482)(100000,150000)	JASDQU010012330.1	125000	832	0.225029
(1195,4320)(443368,446936)(400000,450000)	JASDQU010012330.1	425000	3127	0.342145
(4321,4379)(453283,499909)(450000,500000)	JASDQU010012330.1	475000	60	0.118936
