region	chr	midPos	Nsites
(597,1577)(299014,299999)(250000,300000)	JASDQU010100609.1	275000	982	0.339399
(1578,4923)(300000,303944)(300000,350000)	JASDQU010100609.1	325000	3347	0.534026
(4924,5061)(777955,778169)(750000,800000)	JASDQU010100609.1	775000	139	0.033145
(408,996)(170087,179043)(150000,200000)	JASDQU010100620.1	175000	590	0.040782
(1472,3006)(70620,97109)(50000,100000)	JASDQU010100622.1	75000	1536	0.197729
(76,2247)(425739,428440)(400000,450000)	JASDQU010100627.1	425000	2173	0.741098
(2450,2552)(67578,67705)(50000,100000)	JASDQU010100633.1	75000	104	0.249958
(94,379)(136084,141216)(100000,150000)	JASDQU010100635.1	125000	287	0.061433
(302,600)(220531,220906)(200000,250000)	JASDQU010100636.1	225000	300	0.390100
(125,267)(197488,197637)(150000,200000)	JASDQU010100642.1	175000	144	0.033800
(1798,1983)(130932,131125)(100000,150000)	JASDQU010100643.1	125000	187	0.040019
(1984,2012)(234468,234532)(200000,250000)	JASDQU010100643.1	225000	30	0.094678
(1,468)(148999,149531)(100000,150000)	JASDQU010100646.1	125000	469	0.321149
(129,866)(52063,79934)(50000,100000)	JASDQU010100647.1	75000	739	0.229230
(867,1372)(198771,199289)(150000,200000)	JASDQU010100647.1	175000	507	0.158280
(48,2814)(361240,388557)(350000,400000)	JASDQU010100648.1	375000	2768	0.491952
(1489,1904)(191701,192311)(150000,200000)	JASDQU010100652.1	175000	417	0.028454
(319,1173)(279980,280875)(250000,300000)	JASDQU010100654.1	275000	856	0.211130
(4416,4651)(245322,245559)(200000,250000)	JASDQU010100661.1	225000	237	0.031146
(99,1090)(359785,360807)(350000,400000)	JASDQU010100664.1	375000	993	0.574030
(808,1185)(107873,130129)(100000,150000)	JASDQU010100673.1	125000	379	0.088417
(211,739)(77741,78338)(50000,100000)	JASDQU010100678.1	75000	530	0.006562
(740,752)(304057,304080)(300000,350000)	JASDQU010100678.1	325000	14	0.047195
(753,5117)(359303,364636)(350000,400000)	JASDQU010100678.1	375000	4366	0.080884
(2091,2128)(420923,420977)(400000,450000)	JASDQU010100681.1	425000	39	0.093030
(2129,2163)(590398,590447)(550000,600000)	JASDQU010100681.1	575000	36	0.033875
(69,143)(150005,150082)(150000,200000)	JASDQU010100686.1	175000	76	0.006790
(144,4712)(329958,335192)(300000,350000)	JASDQU010100686.1	325000	4570	0.699153
(4713,5137)(352618,363822)(350000,400000)	JASDQU010100686.1	375000	426	0.260965
(5138,5996)(461757,462857)(450000,500000)	JASDQU010100686.1	475000	860	0.029365
(5997,7861)(533934,535808)(500000,550000)	JASDQU010100686.1	525000	1866	0.185688
(7862,8772)(586219,593067)(550000,600000)	JASDQU010100686.1	575000	912	0.048366
(8773,9541)(611691,638700)(600000,650000)	JASDQU010100686.1	625000	770	0.038991
(631,1165)(211078,211701)(200000,250000)	JASDQU010100689.1	225000	536	0.140663
(254,865)(145338,145966)(100000,150000)	JASDQU010100691.1	125000	613	0.582901
(866,1567)(153415,154182)(150000,200000)	JASDQU010100691.1	175000	703	0.024154
(46,352)(270540,270871)(250000,300000)	JASDQU010100692.1	275000	308	0.470567
(833,2082)(266364,267622)(250000,300000)	JASDQU010100697.1	275000	1251	0.534121
(2083,2691)(324908,325529)(300000,350000)	JASDQU010100697.1	325000	610	0.219575
(387,1143)(131926,143065)(100000,150000)	JASDQU010100709.1	125000	758	0.056282
(1144,1279)(182170,182305)(150000,200000)	JASDQU010100709.1	175000	137	0.405641
(3,155)(191582,191740)(150000,200000)	JASDQU010100711.1	175000	154	0.408591
(156,363)(299790,299999)(250000,300000)	JASDQU010100711.1	275000	209	0.032953
(364,423)(300000,300064)(300000,350000)	JASDQU010100711.1	325000	61	0.039566
(424,1219)(469588,470423)(450000,500000)	JASDQU010100711.1	475000	797	0.767037
(1220,1518)(552046,552490)(550000,600000)	JASDQU010100711.1	575000	300	0.052116
(1519,3305)(720674,724014)(700000,750000)	JASDQU010100711.1	725000	1788	0.028157
(181,904)(929999,930752)(900000,950000)	JASDQU010100714.1	925000	725	0.761714
(905,2856)(1022328,1025560)(1000000,1050000)	JASDQU010100714.1	1025000	1953	0.649917
(1412,2803)(76824,98665)(50000,100000)	JASDQU010100715.1	75000	1393	0.070678
(2804,2879)(505106,505181)(500000,550000)	JASDQU010100715.1	525000	77	0.156594
(1261,1407)(189630,189936)(150000,200000)	JASDQU010100717.1	175000	148	0.124217
(42,208)(416346,447422)(400000,450000)	JASDQU010100727.1	425000	168	0.015057
(16,458)(123894,124353)(100000,150000)	JASDQU010100728.1	125000	444	0.114309
(459,601)(301393,301789)(300000,350000)	JASDQU010100728.1	325000	144	0.035856
(28,261)(115169,115416)(100000,150000)	JASDQU010100733.1	125000	235	0.032611
(262,333)(223193,223268)(200000,250000)	JASDQU010100733.1	225000	73	0.036144
(334,1159)(440224,444023)(400000,450000)	JASDQU010100733.1	425000	827	0.272151
(488,1812)(439590,441406)(400000,450000)	JASDQU010100744.1	425000	1326	0.305527
(214,770)(291809,292370)(250000,300000)	JASDQU010100746.1	275000	558	0.014260
(771,1737)(443542,444545)(400000,450000)	JASDQU010100746.1	425000	968	0.189996
(94,850)(105915,108108)(100000,150000)	JASDQU010100756.1	125000	758	0.776622
(851,970)(182034,182165)(150000,200000)	JASDQU010100756.1	175000	121	0.031713
(318,476)(351519,391865)(350000,400000)	JASDQU010100757.1	375000	160	0.109010
(388,833)(249384,249861)(200000,250000)	JASDQU010100758.1	225000	447	0.277928
(834,1147)(469651,469970)(450000,500000)	JASDQU010100758.1	475000	315	0.107402
(1148,1902)(522084,522840)(500000,550000)	JASDQU010100758.1	525000	756	0.018929
(140,358)(219056,219281)(200000,250000)	JASDQU010100767.1	225000	220	0.617353
(1859,2481)(146535,147158)(100000,150000)	JASDQU010100774.1	125000	624	0.283317
(671,1351)(142219,143097)(100000,150000)	JASDQU010100779.1	125000	682	0.297382
(2095,2872)(163402,164191)(150000,200000)	JASDQU010100785.1	175000	779	0.148186
(2873,2878)(208868,208873)(200000,250000)	JASDQU010100785.1	225000	7	-0.003884
(2879,2950)(315420,315500)(300000,350000)	JASDQU010100785.1	325000	73	0.097258
(2951,3242)(412050,412404)(400000,450000)	JASDQU010100785.1	425000	293	0.364596
(3243,3391)(522000,522769)(500000,550000)	JASDQU010100785.1	525000	150	0.048299
(256,323)(379775,379871)(350000,400000)	JASDQU010100788.1	375000	69	0.013184
(324,877)(438724,439286)(400000,450000)	JASDQU010100788.1	425000	555	0.120801
(878,1689)(484187,485035)(450000,500000)	JASDQU010100788.1	475000	813	0.145062
(1690,1994)(509702,510072)(500000,550000)	JASDQU010100788.1	525000	306	0.003257
(1995,2106)(558816,558974)(550000,600000)	JASDQU010100788.1	575000	113	0.263543
(559,588)(353171,353205)(350000,400000)	JASDQU010100800.1	375000	31	0.061538
(589,766)(495794,495979)(450000,500000)	JASDQU010100800.1	475000	179	0.074666
(245,396)(206430,206581)(200000,250000)	JASDQU010100801.1	225000	153	0.114421
(119,256)(282017,287847)(250000,300000)	JASDQU010100815.1	275000	139	0.397569
(284,520)(205407,219066)(200000,250000)	JASDQU010100819.1	225000	238	0.020991
(521,2238)(256194,283260)(250000,300000)	JASDQU010100819.1	275000	1719	0.275290
(2239,2550)(322726,339134)(300000,350000)	JASDQU010100819.1	325000	313	0.011602
(1397,3445)(261437,264252)(250000,300000)	JASDQU010100822.1	275000	2050	0.344027
(329,465)(887548,887838)(850000,900000)	JASDQU010100823.1	875000	138	0.009430
(466,825)(928357,928733)(900000,950000)	JASDQU010100823.1	925000	361	0.039919
(257,354)(114834,114936)(100000,150000)	JASDQU010100826.1	125000	99	0.058435
(118,1541)(353358,395207)(350000,400000)	JASDQU010100827.1	375000	1425	0.878907
(1542,1575)(468420,468461)(450000,500000)	JASDQU010100827.1	475000	35	0.052134
(349,390)(143838,143932)(100000,150000)	JASDQU010100828.1	125000	43	0.037461
(391,1007)(275315,275990)(250000,300000)	JASDQU010100828.1	275000	618	0.273736
(709,2057)(276426,277902)(250000,300000)	JASDQU010100829.1	275000	1350	0.675324
(2513,5407)(172554,187004)(150000,200000)	JASDQU010100831.1	175000	2896	0.689322
(3505,4244)(136327,137091)(100000,150000)	JASDQU010100833.1	125000	741	0.468379
(4245,4325)(299892,299992)(250000,300000)	JASDQU010100833.1	275000	82	0.089686
(4326,4471)(458438,458728)(450000,500000)	JASDQU010100833.1	475000	147	0.111668
(4472,5474)(500280,525621)(500000,550000)	JASDQU010100833.1	525000	1004	0.113095
(65,885)(156091,156964)(150000,200000)	JASDQU010100834.1	175000	822	0.554650
(41,388)(144877,145225)(100000,150000)	JASDQU010100842.1	125000	349	0.007622
(389,3973)(295892,299613)(250000,300000)	JASDQU010100842.1	275000	3586	0.361694
(3974,5305)(302039,304446)(300000,350000)	JASDQU010100842.1	325000	1333	0.219924
(5306,5407)(373350,373544)(350000,400000)	JASDQU010100842.1	375000	103	0.067088
(340,1178)(301201,302086)(300000,350000)	JASDQU010100846.1	325000	840	-0.002847
(1179,1274)(464127,464232)(450000,500000)	JASDQU010100846.1	475000	97	0.019988
(32,124)(253532,253634)(250000,300000)	JASDQU010100858.1	275000	94	0.115077
(33,66)(189219,189290)(150000,200000)	JASDQU010100863.1	175000	35	0.120629
(1428,1439)(200360,200371)(200000,250000)	JASDQU010100864.1	225000	13	0.072769
(164,3467)(206652,210257)(200000,250000)	JASDQU010100870.1	225000	3305	0.606419
(3468,4367)(514544,548001)(500000,550000)	JASDQU010100870.1	525000	901	0.045802
(4368,6171)(662779,689912)(650000,700000)	JASDQU010100870.1	675000	1805	0.140423
(1995,2028)(349966,349999)(300000,350000)	JASDQU010100873.1	325000	35	0.042493
(2029,3894)(350000,363920)(350000,400000)	JASDQU010100873.1	375000	1867	0.242891
(197,218)(140140,140167)(100000,150000)	JASDQU010100875.1	125000	23	0.024666
(219,2378)(175561,178378)(150000,200000)	JASDQU010100875.1	175000	2161	0.309098
(2846,5109)(265741,268042)(250000,300000)	JASDQU010100877.1	275000	2265	0.454904
(27,90)(50000,50100)(50000,100000)	JASDQU010100888.1	75000	65	0.106301
(91,744)(232746,233400)(200000,250000)	JASDQU010100888.1	225000	655	0.131806
(1545,1646)(148465,148567)(100000,150000)	JASDQU010100891.1	125000	103	0.045939
(597,896)(154817,155209)(150000,200000)	JASDQU010100892.1	175000	301	0.023951
(266,3619)(221496,225323)(200000,250000)	JASDQU010100903.1	225000	3355	0.367193
(3620,3666)(301592,301662)(300000,350000)	JASDQU010100903.1	325000	48	0.280815
(3667,7073)(381964,399891)(350000,400000)	JASDQU010100903.1	375000	3408	0.110735
(509,555)(121513,121591)(100000,150000)	JASDQU010100907.1	125000	48	0.057900
(904,2221)(122765,124165)(100000,150000)	JASDQU010100909.1	125000	1319	0.530439
(858,1967)(109721,131619)(100000,150000)	JASDQU010100916.1	125000	1111	0.017423
(127,359)(91538,91866)(50000,100000)	JASDQU010100917.1	75000	234	0.097145
(360,611)(153554,153825)(150000,200000)	JASDQU010100917.1	175000	253	0.135260
(612,1091)(534052,534531)(500000,550000)	JASDQU010100917.1	525000	481	0.145876
(1092,1490)(647061,647467)(600000,650000)	JASDQU010100917.1	625000	400	0.617600
(1491,3217)(664733,666466)(650000,700000)	JASDQU010100917.1	675000	1728	0.203148
(1273,1675)(59638,60149)(50000,100000)	JASDQU010100919.1	75000	404	0.374394
(176,1076)(343091,343994)(300000,350000)	JASDQU010100920.1	325000	902	0.380351
(97,4242)(103965,112055)(100000,150000)	JASDQU010100922.1	125000	4147	0.530852
(4243,4643)(320339,320744)(300000,350000)	JASDQU010100922.1	325000	402	0.474140
(4644,9727)(374181,379382)(350000,400000)	JASDQU010100922.1	375000	5085	0.235788
(9728,12759)(451325,455779)(450000,500000)	JASDQU010100922.1	475000	3033	0.216238
(105,110)(531060,531071)(500000,550000)	JASDQU010100935.1	525000	7	0.155508
(604,5845)(253968,273496)(250000,300000)	JASDQU010100939.1	275000	5243	0.602086
(165,215)(211821,211917)(200000,250000)	JASDQU010100940.1	225000	52	0.072527
(550,1333)(121727,122529)(100000,150000)	JASDQU010100941.1	125000	785	0.716894
(439,452)(703916,703975)(700000,750000)	JASDQU010100944.1	725000	15	0.046063
(453,768)(843777,844098)(800000,850000)	JASDQU010100944.1	825000	317	0.066948
(769,924)(954486,954809)(950000,1000000)	JASDQU010100944.1	975000	157	0.319725
(925,1072)(1063534,1065816)(1050000,1100000)	JASDQU010100944.1	1075000	149	0.078030
(536,699)(180806,181274)(150000,200000)	JASDQU010100948.1	175000	165	0.021830
(700,998)(258092,258522)(250000,300000)	JASDQU010100948.1	275000	300	0.022279
(999,1016)(306118,306146)(300000,350000)	JASDQU010100948.1	325000	19	0.094456
(1017,1025)(688113,688128)(650000,700000)	JASDQU010100948.1	675000	10	0.217806
(862,3817)(200986,222083)(200000,250000)	JASDQU010100952.1	225000	2957	0.238982
(374,376)(136922,136924)(100000,150000)	JASDQU010100953.1	125000	4	0.046097
(377,552)(188157,195448)(150000,200000)	JASDQU010100953.1	175000	177	0.494917
(553,789)(223216,223460)(200000,250000)	JASDQU010100953.1	225000	238	0.042969
(240,506)(178534,178852)(150000,200000)	JASDQU010100954.1	175000	268	0.021409
(1383,1733)(107313,123206)(100000,150000)	JASDQU010100955.1	125000	352	0.157354
(1734,2797)(251207,272960)(250000,300000)	JASDQU010100955.1	275000	1065	0.207685
(135,485)(215745,216099)(200000,250000)	JASDQU010100961.1	225000	352	0.011856
(486,625)(257190,257385)(250000,300000)	JASDQU010100961.1	275000	141	-0.021047
(626,1351)(370005,397230)(350000,400000)	JASDQU010100961.1	375000	727	0.420500
(1163,1986)(293278,294126)(250000,300000)	JASDQU010100965.1	275000	825	0.306763
(1987,2194)(372696,372915)(350000,400000)	JASDQU010100965.1	375000	209	0.377446
(2195,3040)(415029,444885)(400000,450000)	JASDQU010100965.1	425000	847	0.565862
(968,1033)(619475,619590)(600000,650000)	JASDQU010100967.1	625000	67	-0.005786
(727,1310)(292163,297284)(250000,300000)	JASDQU010100968.1	275000	585	0.214692
(779,2225)(263388,264903)(250000,300000)	JASDQU010100972.1	275000	1448	0.315353
(360,387)(501732,501797)(500000,550000)	JASDQU010100976.1	525000	29	0.371781
(31,636)(290624,291263)(250000,300000)	JASDQU010100981.1	275000	607	0.323644
(637,3794)(311326,317389)(300000,350000)	JASDQU010100981.1	325000	3159	0.321071
(583,973)(130850,131299)(100000,150000)	JASDQU010100982.1	125000	392	0.213718
(881,2977)(56475,78927)(50000,100000)	JASDQU010100985.1	75000	2098	0.498967
(2978,4472)(170973,198000)(150000,200000)	JASDQU010100985.1	175000	1496	0.167870
(159,1851)(275719,279453)(250000,300000)	JASDQU010100991.1	275000	1694	0.346639
(250,591)(223252,223629)(200000,250000)	JASDQU010101002.1	225000	343	0.045651
(79,1038)(196262,197236)(150000,200000)	JASDQU010101005.1	175000	961	0.458845
(1039,1150)(357302,357440)(350000,400000)	JASDQU010101005.1	375000	113	0.045223
(1151,1783)(469051,469687)(450000,500000)	JASDQU010101005.1	475000	634	0.819264
(1784,2664)(557108,558275)(550000,600000)	JASDQU010101005.1	575000	882	0.809693
(143,843)(407608,408431)(400000,450000)	JASDQU010101016.1	425000	702	0.342305
(844,1952)(473546,484472)(450000,500000)	JASDQU010101016.1	475000	1110	0.073529
(1953,2298)(650431,650785)(650000,700000)	JASDQU010101016.1	675000	347	0.037487
(558,1672)(321720,323800)(300000,350000)	JASDQU010101017.1	325000	1116	0.786189
(1312,1475)(378818,378983)(350000,400000)	JASDQU010101028.1	375000	165	0.014556
(161,218)(218053,218121)(200000,250000)	JASDQU010101029.1	225000	59	0.120344
(219,840)(287238,287903)(250000,300000)	JASDQU010101029.1	275000	623	0.466083
(566,723)(116587,116775)(100000,150000)	JASDQU010101034.1	125000	159	0.402645
(724,1087)(207763,208134)(200000,250000)	JASDQU010101034.1	225000	365	0.025458
(1088,1089)(390174,390175)(350000,400000)	JASDQU010101034.1	375000	3	0.043657
(471,764)(282797,283151)(250000,300000)	JASDQU010101035.1	275000	295	0.059925
(765,1613)(356550,373351)(350000,400000)	JASDQU010101035.1	375000	850	0.238191
(215,396)(122886,123077)(100000,150000)	JASDQU010101037.1	125000	183	0.074948
(128,807)(103889,104571)(100000,150000)	JASDQU010101040.1	125000	681	0.047859
(808,2298)(243871,249999)(200000,250000)	JASDQU010101040.1	225000	1492	0.347446
(2299,2931)(250000,250636)(250000,300000)	JASDQU010101040.1	275000	634	0.496748
(394,486)(189335,189444)(150000,200000)	JASDQU010101042.1	175000	94	0.053323
(2860,3257)(201688,202137)(200000,250000)	JASDQU010101043.1	225000	399	0.301756
(196,1016)(622615,624840)(600000,650000)	JASDQU010101053.1	625000	822	0.652889
(54,596)(113174,113740)(100000,150000)	JASDQU010101055.1	125000	544	0.718584
(597,641)(578447,578553)(550000,600000)	JASDQU010101055.1	575000	46	0.154714
(2494,2610)(243428,243581)(200000,250000)	JASDQU010101056.1	225000	118	0.042565
(68,4237)(108822,140339)(100000,150000)	JASDQU010101060.1	125000	4171	0.682265
(4238,4504)(201669,201940)(200000,250000)	JASDQU010101060.1	225000	268	0.049633
(1518,2139)(412787,413437)(400000,450000)	JASDQU010101061.1	425000	623	0.420416
(315,333)(103680,103785)(100000,150000)	JASDQU010101063.1	125000	20	0.012161
(233,2828)(50000,85606)(50000,100000)	JASDQU010101066.1	75000	2597	0.863958
(341,416)(187233,187359)(150000,200000)	JASDQU010101070.1	175000	77	0.153828
(1803,2031)(393315,393547)(350000,400000)	JASDQU010101073.1	375000	230	0.053549
(2032,2675)(437034,437814)(400000,450000)	JASDQU010101073.1	425000	645	0.024878
(4045,4127)(217285,217399)(200000,250000)	JASDQU010101076.1	225000	84	0.027481
(281,2097)(384882,387951)(350000,400000)	JASDQU010101080.1	375000	1818	0.364239
(1319,1816)(355234,366583)(350000,400000)	JASDQU010101081.1	375000	499	0.010348
(1817,2113)(418722,428774)(400000,450000)	JASDQU010101081.1	425000	298	0.085738
(2114,2844)(455655,462911)(450000,500000)	JASDQU010101081.1	475000	732	0.033003
(2845,3406)(502931,514126)(500000,550000)	JASDQU010101081.1	525000	563	0.038618
(194,999)(155617,181211)(150000,200000)	JASDQU010101084.1	175000	807	0.327001
(1000,1478)(287616,288199)(250000,300000)	JASDQU010101084.1	275000	480	0.027066
(1479,3374)(546089,549999)(500000,550000)	JASDQU010101084.1	525000	1897	0.618056
(602,1415)(548069,548894)(500000,550000)	JASDQU010101099.1	525000	815	0.132784
(874,904)(422052,422083)(400000,450000)	JASDQU010101103.1	425000	32	0.033438
(905,1111)(515630,516130)(500000,550000)	JASDQU010101103.1	525000	208	0.041672
(1112,1678)(837039,837724)(800000,850000)	JASDQU010101103.1	825000	568	0.017537
(1679,2029)(1241156,1241559)(1200000,1250000)	JASDQU010101103.1	1225000	352	0.068320
(4132,4725)(405707,423489)(400000,450000)	JASDQU010101105.1	425000	595	0.053058
(359,547)(515116,515547)(500000,550000)	JASDQU010101110.1	525000	190	0.000374
(416,1036)(88426,89180)(50000,100000)	JASDQU010101116.1	75000	622	0.021462
(1037,1627)(118921,119667)(100000,150000)	JASDQU010101116.1	125000	592	0.029026
(605,724)(55609,55747)(50000,100000)	JASDQU010101118.1	75000	121	0.353492
(572,616)(291988,292048)(250000,300000)	JASDQU010101120.1	275000	46	0.028653
(241,1639)(252236,273778)(250000,300000)	JASDQU010101121.1	275000	1400	0.020262
(1640,1675)(410937,410977)(400000,450000)	JASDQU010101121.1	425000	37	0.071731
(5076,5093)(280288,280328)(250000,300000)	JASDQU010101138.1	275000	19	0.048124
(5094,5481)(371221,374246)(350000,400000)	JASDQU010101138.1	375000	389	0.011081
(5482,5814)(432055,432609)(400000,450000)	JASDQU010101138.1	425000	334	0.017138
(5815,5819)(488723,488731)(450000,500000)	JASDQU010101138.1	475000	6	0.076072
(5820,6204)(662781,699999)(650000,700000)	JASDQU010101138.1	675000	386	0.079796
(6205,6207)(700000,700002)(700000,750000)	JASDQU010101138.1	725000	4	0.037388
(31,615)(679083,679675)(650000,700000)	JASDQU010101140.1	675000	586	0.452158
(299,1728)(290836,292305)(250000,300000)	JASDQU010101142.1	275000	1431	0.048963
(234,479)(280981,291892)(250000,300000)	JASDQU010101145.1	275000	247	0.065929
(480,2284)(390584,392653)(350000,400000)	JASDQU010101145.1	375000	1806	0.417471
(386,909)(155346,155939)(150000,200000)	JASDQU010101151.1	175000	525	0.044994
(910,1028)(217559,217692)(200000,250000)	JASDQU010101151.1	225000	120	0.049214
(1029,1506)(344199,344852)(300000,350000)	JASDQU010101151.1	325000	479	0.060951
(1507,3607)(353514,383342)(350000,400000)	JASDQU010101151.1	375000	2102	0.252370
(3608,3820)(449057,449269)(400000,450000)	JASDQU010101151.1	425000	214	0.031828
(1013,4854)(226307,241554)(200000,250000)	JASDQU010101163.1	225000	3843	0.471249
(4855,5586)(260765,291733)(250000,300000)	JASDQU010101163.1	275000	733	0.185169
(5587,6252)(351342,352047)(350000,400000)	JASDQU010101163.1	375000	667	0.191397
(144,362)(148133,148436)(100000,150000)	JASDQU010101179.1	125000	220	0.575878
(2252,2453)(55724,55940)(50000,100000)	JASDQU010101181.1	75000	203	0.072467
(164,746)(290916,291512)(250000,300000)	JASDQU010101193.1	275000	584	0.402810
(79,756)(185171,185886)(150000,200000)	JASDQU010101194.1	175000	679	0.254384
(262,3827)(50000,70658)(50000,100000)	JASDQU010101197.1	75000	3567	0.468727
(364,520)(556733,586564)(550000,600000)	JASDQU010101207.1	575000	158	0.129355
(521,813)(600650,600964)(600000,650000)	JASDQU010101207.1	625000	294	-0.012208
(3844,4285)(182102,182552)(150000,200000)	JASDQU010101220.1	175000	443	0.004144
(430,2697)(86498,94110)(50000,100000)	JASDQU010101222.1	75000	2269	0.155102
(112,413)(121406,121830)(100000,150000)	JASDQU010101225.1	125000	303	0.012753
(414,1035)(303174,327921)(300000,350000)	JASDQU010101225.1	325000	623	0.239184
(343,987)(347921,348577)(300000,350000)	JASDQU010101228.1	325000	646	0.235026
(275,803)(58541,59198)(50000,100000)	JASDQU010101229.1	75000	530	0.572418
(84,418)(266875,267226)(250000,300000)	JASDQU010101235.1	275000	336	0.533788
(52,878)(113766,148961)(100000,150000)	JASDQU010101241.1	125000	828	0.111407
(91,177)(281840,281927)(250000,300000)	JASDQU010101248.1	275000	88	0.018770
(1844,3106)(212041,213486)(200000,250000)	JASDQU010101249.1	225000	1264	0.146011
(621,1116)(150701,186626)(150000,200000)	JASDQU010101251.1	175000	497	0.225878
(131,387)(214366,214787)(200000,250000)	JASDQU010101253.1	225000	258	0.030465
(388,4861)(316243,341550)(300000,350000)	JASDQU010101253.1	325000	4475	0.266030
(4862,5042)(368392,368585)(350000,400000)	JASDQU010101253.1	375000	182	0.022678
(220,1122)(312454,313378)(300000,350000)	JASDQU010101255.1	325000	904	0.225455
(39,280)(545508,545750)(500000,550000)	JASDQU010101260.1	525000	243	0.044416
(826,880)(103380,103634)(100000,150000)	JASDQU010101262.1	125000	56	0.055583
(142,548)(90365,90792)(50000,100000)	JASDQU010101273.1	75000	408	0.226161
(437,1524)(109218,121672)(100000,150000)	JASDQU010101281.1	125000	1089	0.083847
(3617,3903)(311901,312200)(300000,350000)	JASDQU010101286.1	325000	288	0.333152
(1546,1714)(541279,541447)(500000,550000)	JASDQU010101314.1	525000	170	0.025849
(1715,2337)(676675,677692)(650000,700000)	JASDQU010101314.1	675000	624	0.073197
(2338,2755)(726675,727108)(700000,750000)	JASDQU010101314.1	725000	419	0.027143
(2756,3012)(893370,894059)(850000,900000)	JASDQU010101314.1	875000	258	0.066929
(3013,3020)(923241,923249)(900000,950000)	JASDQU010101314.1	925000	9	-0.015301
(866,998)(63972,64111)(50000,100000)	JASDQU010101322.1	75000	134	0.078103
(1004,1032)(130170,130207)(100000,150000)	JASDQU010101338.1	125000	30	0.041325
(267,1042)(145316,147913)(100000,150000)	JASDQU010101339.1	125000	777	0.015767
(34,4101)(91686,97206)(50000,100000)	JASDQU010101348.1	75000	4069	0.332273
(92,1675)(61865,72216)(50000,100000)	JASDQU010101350.1	75000	1585	0.351968
(1676,3506)(146123,148284)(100000,150000)	JASDQU010101350.1	125000	1832	0.161085
(20,239)(350004,350245)(350000,400000)	JASDQU010101353.1	375000	221	0.776111
(1038,1501)(147508,148017)(100000,150000)	JASDQU010101355.1	125000	465	0.190259
(54,1113)(370104,371370)(350000,400000)	JASDQU010101357.1	375000	1061	0.061072
(57,697)(348886,349546)(300000,350000)	JASDQU010101360.1	325000	642	0.133602
(743,845)(260331,260448)(250000,300000)	JASDQU010101361.1	275000	104	0.049929
(846,1000)(472983,486771)(450000,500000)	JASDQU010101361.1	475000	156	0.055543
(701,1177)(250000,277039)(250000,300000)	JASDQU010101367.1	275000	478	0.037304
(909,1127)(478459,478686)(450000,500000)	JASDQU010101368.1	475000	220	0.118063
(1637,3301)(575629,577340)(550000,600000)	JASDQU010101369.1	575000	1666	0.054944
(3302,3398)(809552,809686)(800000,850000)	JASDQU010101369.1	825000	98	0.025935
(776,1298)(279048,279725)(250000,300000)	JASDQU010101370.1	275000	524	0.031151
(1603,2327)(101561,102287)(100000,150000)	JASDQU010101376.1	125000	726	0.215400
(2328,2546)(162070,162321)(150000,200000)	JASDQU010101376.1	175000	220	0.040369
(2547,2548)(360148,360151)(350000,400000)	JASDQU010101376.1	375000	3	0.049015
(2549,3631)(404355,432723)(400000,450000)	JASDQU010101376.1	425000	1084	0.608311
(3632,4461)(459393,460240)(450000,500000)	JASDQU010101376.1	475000	831	0.442201
(111,1390)(122172,124350)(100000,150000)	JASDQU010101378.1	125000	1281	0.664770
(1391,3206)(167055,199555)(150000,200000)	JASDQU010101378.1	175000	1817	0.303537
(3207,3689)(201077,201562)(200000,250000)	JASDQU010101378.1	225000	484	0.019411
(42,197)(367847,368013)(350000,400000)	JASDQU010101383.1	375000	157	0.025458
(198,1350)(529360,536828)(500000,550000)	JASDQU010101383.1	525000	1154	0.719651
(2751,3168)(109253,109724)(100000,150000)	JASDQU010101384.1	125000	419	0.354384
(3169,3382)(183894,184133)(150000,200000)	JASDQU010101384.1	175000	215	0.167072
(1053,1984)(165545,179306)(150000,200000)	JASDQU010101385.1	175000	933	0.082097
(1985,3311)(261536,286657)(250000,300000)	JASDQU010101385.1	275000	1328	0.103818
(552,1665)(428644,429797)(400000,450000)	JASDQU010101388.1	425000	1115	0.220383
(577,866)(199706,199999)(150000,200000)	JASDQU010101390.1	175000	291	0.355036
(708,1136)(63329,66306)(50000,100000)	JASDQU010101392.1	75000	430	0.065577
(624,678)(228789,228844)(200000,250000)	JASDQU010101395.1	225000	56	0.082762
(679,1646)(339101,340091)(300000,350000)	JASDQU010101395.1	325000	969	0.777621
(526,663)(139318,139500)(100000,150000)	JASDQU010101404.1	125000	139	0.682649
(664,3333)(194985,197704)(150000,200000)	JASDQU010101404.1	175000	2671	0.515626
(3334,6794)(226512,247670)(200000,250000)	JASDQU010101404.1	225000	3462	0.072274
(6795,7091)(279083,279473)(250000,300000)	JASDQU010101404.1	275000	298	0.258611
(7092,8516)(311700,333620)(300000,350000)	JASDQU010101404.1	325000	1426	0.239596
(8517,9156)(520840,521498)(500000,550000)	JASDQU010101404.1	525000	641	0.422716
(9157,10239)(679711,681930)(650000,700000)	JASDQU010101404.1	675000	1084	0.543188
(376,415)(102819,102866)(100000,150000)	JASDQU010101413.1	125000	41	0.052793
(416,566)(160179,163157)(150000,200000)	JASDQU010101413.1	175000	152	0.083287
(567,609)(297408,297509)(250000,300000)	JASDQU010101413.1	275000	44	0.146158
(6520,6769)(94541,94803)(50000,100000)	JASDQU010101424.1	75000	251	0.037260
(101,401)(306237,306562)(300000,350000)	JASDQU010101436.1	325000	302	0.398380
